product_sku|name|price|detail_text|level_1|level_2|level_3
025844|Ванна стальная 150*70 см Kaldewei Form Plus 310 /Германия/ с ножками в комплекте|9656.00|Ванна сталь FORM PLUS (Eurowa), без сифона.|Сантехника|Ванная|Ванны
026555|Ванна стальная 1500*700 Kaldewei Form Plus 310 + ручки /Германия/|16445.00|Ванна сталь FORM PLUS (Eurowa), без сифона. С ручками.|Сантехника|Ванная|Ванны
028261|Ванна стальная 170*70 см Kaldewei Form Plus 312 /Германия/ с ножками в комплекте|9656.00|Ванна сталь FORM PLUS (Eurowa) 1700*700*430 сталь 2,5мм, без сифона.|Сантехника|Ванная|Ванны
431421|Шкаф-зеркало IKA Гиро 55 белый|3950.00|Зеркальный шкаф «Гиро» с открытыми полками и пространством с полками за зеркальной дверью, оборудован подсветкой и розеткой. Зеркальное полотно произведено на основе амальгамы серебра и предназначено для эксплуатации во влажных помещениях|Мебель|Ванная|Шкафы для ванной
431422|Зеркало-шкаф IKA Гиро 55 ваниль|4500.00|Зеркальный шкаф «Гиро» с открытыми полками и пространством с полками за зеркальной дверью, оборудован подсветкой и розеткой. Зеркальное полотно произведено на основе амальгамы серебра и предназначено для эксплуатации во влажных помещениях|Мебель|Ванная|Шкафы для ванной
143189|Пенал IKA 30 левый|1499.00|"Пенал IKA 30, cочетание классики и творческого решения. Удивительная отточенность дизайна создаст в Вашей ванной комнате атмосферу чувственности и эмоциональности.
Ширина: 30 см

Внимание!! Без бельевой корзины!!
Изображение дано для ознакомления!"|Мебель|Ванная|Шкафы для ванной
143192|Полупенал IKA 30 правый|1658.00|"Полупенал IKA 30, сочетание классики и творческого решения. Удивительная отточенность дизайна создаст в Вашей ванной комнате атмосферу чувственности и эмоциональности.
Размер 300*335*1010"|Мебель|Ванная|Шкафы для ванной
431085|Шкаф IKA Кредо 60|4928.00|Фасад изделия из МДФ с покрытием ПВХ-пленкой методом мембранно-вакуумного прессования, который позволяет достичь почти 100%-ной водонепроницаемости|Мебель|Ванная|Шкафы для ванной
431437|Тумба IKA Уют 50 с умывальником|4503.00|Белая тумба Уют 50  позволяет оптимизировать пространство в санузле и сохранить аккуратный вид интерьера. Помимо маскировки коммуникаций под раковиной тумбу можно использовать для хранения мелочей, бытовой химии или текстиля.|Мебель|Ванная|Тумбы под раковину
431439|Тумба IKA Уют 55 белый с умывальником|5210.00|"Белая тумба Уют 55  позволяет оптимизировать пространство в санузле и сохранить аккуратный вид интерьера. Помимо маскировки коммуникаций под раковиной тумбу можно использовать для хранения мелочей, бытовой химии или текстиля.

Сифон в комплект не входит.
В комплекте только тумба и раковина."|Мебель|Ванная|Тумбы под раковину
431443|Тумба IKA Уют 60 с умывальником|5663.00|Белая тумба Уют 60  позволяет оптимизировать пространство в санузле и сохранить аккуратный вид интерьера. Помимо маскировки коммуникаций под раковиной тумбу можно использовать для хранения мелочей, бытовой химии или текстиля.|Мебель|Ванная|Тумбы под раковину
141418|Мойка накладная 50*50 К455 (0,4)|860.00|Накладная мойка из нержавеющей стали.|Сантехника|Мойки|
141419|Мойка накладная 50*60 К456 (0,4)|770.00|Накладная мойка из нержавеющей стали.|Сантехника|Мойки|
141964|Мойка накладная 60*60 К466L (0,4) левая|1068.00|Накладная мойка из нержавеющей стали.|Сантехника|Мойки|
141965|Мойка накладная 60*60 К466R (0,4) правая|558.00|"Накладная мойка из нержавеющей стали.
"|Сантехника|Мойки|
141420|Мойка накладная 60*80 К468L (0,4) левая|1162.00|Накладная мойка из нержавеющей стали.|Сантехника|Мойки|
141421|Мойка накладная 60*80 К468R (0,4) правая|831.00|Накладная мойка из нержавеющей стали.|Сантехника|Мойки|
